user,time,event,location,device
User_12,2024-04-15 17:00:00,login_success,New York,Tablet
User_45,2024-05-31 13:00:00,login_success,Berlin,Desktop
User_17,2024-04-20 09:00:00,login_success,San Francisco,Desktop
User_18,2024-07-30 13:00:00,login_success,Berlin,Mobile
User_44,2024-08-04 10:00:00,login_success,London,Desktop
User_16,2024-05-04 16:00:00,login_success,Berlin,Mobile
User_3,2024-09-15 10:00:00,login_success,Tokyo,Desktop
User_17,2024-10-10 11:00:00,login_success,New York,Tablet
User_16,2024-09-12 09:00:00,login_success,Berlin,Mobile
User_36,2024-06-19 12:00:00,login_success,London,Mobile
User_30,2024-06-14 11:00:00,login_success,New York,Mobile
User_7,2024-04-17 14:00:00,login_success,London,Desktop
User_15,2024-03-21 17:00:00,login_success,Berlin,Desktop
User_3,2024-01-03 13:00:00,login_failure,Tokyo,Mobile
User_49,2024-03-22 01:00:00,login_success,New York,Mobile
User_9,2024-01-17 05:00:00,login_success,Tokyo,Desktop
User_44,2024-10-26 04:00:00,login_success,New York,Desktop
User_9,2024-02-11 17:00:00,login_success,New York,Tablet
User_18,2024-05-06 13:00:00,login_success,Berlin,Desktop
User_9,2024-09-07 20:00:00,login_success,Berlin,Desktop
User_29,2024-06-19 13:00:00,login_success,San Francisco,Desktop
User_24,2024-01-02 10:00:00,login_success,New York,Desktop
User_8,2024-07-18 07:00:00,login_success,Berlin,Tablet
User_29,2024-04-08 05:00:00,login_success,San Francisco,Tablet
User_36,2024-03-18 19:00:00,login_success,New York,Tablet
User_32,2024-06-02 00:00:00,login_success,London,Tablet
User_30,2024-09-12 23:00:00,login_success,New York,Mobile
User_25,2024-05-26 13:00:00,login_success,San Francisco,Mobile
User_24,2024-03-18 04:00:00,login_success,Berlin,Desktop
User_13,2024-04-15 18:00:00,login_failure,London,Tablet
User_20,2024-06-21 08:00:00,login_success,Berlin,Tablet
User_49,2024-01-02 18:00:00,login_success,Berlin,Desktop
User_48,2024-02-23 02:00:00,login_success,Berlin,Desktop
User_44,2024-01-04 02:00:00,login_success,New York,Tablet
User_39,2024-05-16 21:00:00,login_success,Tokyo,Mobile
User_25,2024-10-02 15:00:00,login_success,Tokyo,Mobile
User_43,2024-07-01 19:00:00,login_success,San Francisco,Mobile
User_30,2024-09-20 08:00:00,login_success,Berlin,Mobile
User_11,2024-01-15 14:00:00,login_success,Tokyo,Mobile
User_14,2024-08-27 14:00:00,login_success,San Francisco,Tablet
User_18,2024-01-26 22:00:00,login_success,New York,Mobile
User_31,2024-07-07 11:00:00,login_success,Tokyo,Desktop
User_24,2024-10-20 20:00:00,login_success,New York,Tablet
User_46,2024-08-09 10:00:00,login_failure,London,Mobile
User_25,2024-08-16 18:00:00,login_success,Tokyo,Desktop
User_19,2024-01-23 02:00:00,login_success,San Francisco,Mobile
User_19,2024-04-18 19:00:00,login_success,Tokyo,Tablet
User_38,2024-03-07 23:00:00,login_success,New York,Mobile
User_47,2024-10-29 06:00:00,login_success,San Francisco,Tablet
User_38,2024-08-29 04:00:00,login_success,New York,Mobile
User_12,2024-06-24 18:00:00,login_success,San Francisco,Mobile
User_22,2024-10-15 08:00:00,login_success,Tokyo,Desktop
User_43,2024-07-11 02:00:00,login_success,New York,Desktop
User_11,2024-06-11 11:00:00,login_success,Tokyo,Tablet
User_49,2024-03-12 05:00:00,login_success,London,Tablet
User_14,2024-02-16 16:00:00,login_success,San Francisco,Mobile
User_13,2024-09-08 18:00:00,login_success,New York,Tablet
User_10,2024-06-13 05:00:00,login_success,Tokyo,Mobile
User_14,2024-08-23 11:00:00,login_success,New York,Desktop
User_28,2024-04-28 06:00:00,login_success,Berlin,Tablet
User_50,2024-10-24 20:00:00,login_success,San Francisco,Desktop
User_46,2024-08-31 11:00:00,login_success,Tokyo,Tablet
User_31,2024-08-08 13:00:00,login_success,Tokyo,Tablet
User_9,2024-09-01 07:00:00,login_success,London,Mobile
User_40,2024-07-08 15:00:00,login_success,San Francisco,Tablet
User_44,2024-09-05 01:00:00,login_success,Berlin,Mobile
User_48,2024-01-16 20:00:00,login_failure,San Francisco,Tablet
User_29,2024-09-22 22:00:00,login_success,London,Desktop
User_43,2024-02-19 15:00:00,login_success,Berlin,Tablet
User_26,2024-05-21 08:00:00,login_success,London,Mobile
User_26,2024-02-21 15:00:00,login_success,San Francisco,Desktop
User_18,2024-05-16 21:00:00,login_failure,London,Tablet
User_31,2024-05-31 00:00:00,login_success,San Francisco,Mobile
User_28,2024-05-22 00:00:00,login_failure,New York,Tablet
